    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes       0.5431 usec        58.921 MB/s
        32 bytes        0.493 usec       129.817 MB/s
        64 bytes      0.50815 usec       251.894 MB/s
       128 bytes       0.5022 usec       509.757 MB/s
       256 bytes       0.4961 usec       1032.05 MB/s
       512 bytes       0.4964 usec       2062.85 MB/s
      1024 bytes       0.4985 usec       4108.32 MB/s
      2048 bytes      0.50375 usec       8131.02 MB/s
      4096 bytes      0.50315 usec       16281.4 MB/s
      8192 bytes       0.5108 usec       32075.2 MB/s
     16384 bytes       0.7321 usec       44758.9 MB/s
     32768 bytes       1.7315 usec       37849.3 MB/s
     65536 bytes       1.9387 usec       67608.2 MB/s
    131072 bytes       2.2877 usec        114588 MB/s
